k_effective;failure_rate;success_rate;avg_bounces;avg_failed
1;0.05;0.95;0.05;3.3
1;0.1;0.65;0.35;4.55
1;0.15;0.45;0.55;10.0
1;0.2;0.35;0.65;11.25
1;0.25;0.2;0.8;12.25
2;0.05;0.75;0.75;4.55
2;0.2;0.9;0.4;9.6
2;0.1;0.5;1.65;9.75
2;0.15;0.55;1.3;10.15
2;0.25;0.3;1.95;12.05
3;0.05;1.0;0.1;5.45
3;0.1;0.75;0.95;7.25
3;0.15;0.9;0.65;9.0
3;0.2;0.55;1.5;11.9
3;0.25;0.3;2.7;12.55
4;0.05;1.0;0.3;3.5
4;0.1;0.9;0.85;6.0
4;0.15;0.55;2.05;9.05
4;0.2;0.4;2.8;11.45
4;0.25;0.6;1.6;11.7
