k_effective;failure_rate;success_rate;avg_bounces;avg_failed
1;0.05;0.35;0.65;30.35
1;0.1;0.0;1.0;68.7
1;0.15;0.0;1.0;87.35
1;0.2;0.05;0.95;108.85
1;0.25;0.0;1.0;126.9
2;0.05;0.3;1.55;37.85
2;0.1;0.5;1.05;63.5
2;0.15;0.35;1.3;90.15
2;0.2;0.05;1.95;100.75
2;0.25;0.05;1.9;119.35
3;0.05;0.6;2.05;33.6
3;0.1;0.15;2.85;68.7
3;0.15;0.25;2.55;88.4
3;0.2;0.15;2.85;102.0
3;0.25;0.2;2.8;118.75
