k_effective;failure_rate;success_rate;avg_bounces;avg_failed
1;0.05;0.55;0.45;3.6
1;0.1;0.3;0.7;6.35
1;0.15;0.05;0.95;7.85
1;0.2;0.1;0.9;9.65
1;0.25;0.2;0.8;11.95
