k_effective;failure_rate;success_rate;avg_bounces;avg_failed
1;0.05;0.6;0.4;2.3
1;0.1;1.0;0.0;7.5
1;0.15;0.7;0.3;8.35
1;0.2;0.45;0.55;10.65
1;0.25;0.25;0.75;13.9
