k_effective;failure_rate;success_rate;avg_bounces;avg_failed
1;0.05;0.65;0.35;2.45
1;0.1;0.8;0.2;5.15
1;0.15;0.75;0.25;7.15
1;0.2;0.25;0.75;8.65
1;0.25;0.5;0.5;9.2
2;0.05;0.85;0.35;2.65
2;0.1;0.8;0.9;4.2
2;0.15;0.4;1.45;6.1
2;0.25;0.35;1.5;7.85
2;0.2;0.2;1.8;9.8
3;0.05;0.95;0.45;3.15
3;0.1;0.65;1.65;4.4
3;0.15;0.4;1.8;7.0
3;0.2;0.45;1.75;8.5
3;0.25;0.35;2.0;9.85
4;0.05;0.95;0.95;2.55
4;0.1;0.7;1.75;6.45
4;0.15;0.6;1.6;7.6
4;0.2;0.6;1.9;8.0
4;0.25;0.55;2.8;10.3
